0,1,2,3,4,5,6,7
211,184,111,0,6,842,16.23076923076923,4.014218009478673
281,253,149,0,0,1237,25.545454545454547,4.444839857651245
298,273,157,0,5,1378,18.625,4.620805369127517
639,586,304,0,16,3122,30.428571428571427,5.023474178403756
128,121,73,0,3,515,32.0,4.3046875
103,92,64,0,3,512,14.714285714285714,5.106796116504855
109,96,76,0,1,505,15.571428571428571,4.7889908256880735
242,211,146,0,7,1074,30.25,4.628099173553719
105,86,42,0,3,323,21.0,3.533333333333333
207,188,118,0,4,852,25.875,4.265700483091788
303,263,148,0,3,1172,33.666666666666664,4.128712871287129
179,161,103,0,3,772,35.8,4.58659217877095
217,188,111,0,5,748,31.0,3.7004608294930876
171,149,89,0,9,828,28.5,4.941520467836257
117,100,66,0,1,491,19.5,4.452991452991453
858,741,372,0,8,3375,17.510204081632654,4.195804195804196
221,186,114,0,4,840,27.75,4.076923076923077
133,115,73,0,3,482,19.0,3.954887218045113
573,485,285,0,3,2381,44.07692307692308,4.356020942408377
230,191,122,0,11,843,32.857142857142854,3.9565217391304346
270,232,131,0,5,1039,24.545454545454547,4.0962962962962965
109,95,52,0,4,395,18.166666666666668,3.963302752293578
153,131,86,0,3,556,21.857142857142858,3.8562091503267975
199,177,113,0,3,825,22.11111111111111,4.371859296482412
347,310,171,0,5,1459,21.6875,4.22478386167147
225,196,128,0,7,884,17.307692307692307,4.191111111111111
424,374,207,0,11,1780,22.31578947368421,4.393867924528302
164,145,96,0,6,747,23.428571428571427,4.725609756097561
229,198,131,0,3,926,22.9,4.179039301310044
117,102,67,0,5,521,19.5,4.6923076923076925
85,76,52,0,3,314,12.142857142857142,4.0
277,239,148,0,8,1219,15.38888888888889,4.55956678700361
118,98,66,0,0,485,14.75,4.288135593220339
148,129,81,0,7,537,21.142857142857142,3.858108108108108
106,93,69,0,2,429,17.666666666666668,4.311320754716981
176,161,90,0,2,759,22.0,4.375
108,93,57,0,1,411,27.0,4.074074074074074
103,89,63,0,0,412,14.714285714285714,4.242718446601942
154,141,85,0,8,608,25.666666666666668,4.2272727272727275
148,130,92,0,1,566,24.666666666666668,4.135135135135135
230,204,115,0,5,969,20.90909090909091,4.443478260869565
215,187,112,0,4,844,35.833333333333336,4.297674418604651
119,100,72,0,4,502,17.0,4.46218487394958
309,284,150,0,10,1344,25.75,4.5792880258899675
114,98,71,0,1,452,19.0,4.2368421052631575
146,125,83,0,4,612,18.25,4.47945205479452
608,560,286,0,15,2607,14.476190476190476,4.315789473684211
109,95,71,0,7,465,10.9,4.4495412844036695
121,107,66,0,1,437,17.285714285714285,3.84297520661157
98,83,53,0,4,342,16.333333333333332,3.806122448979592
254,226,140,0,3,1067,28.22222222222222,4.429133858267717
80,67,40,0,1,292,11.428571428571429,3.9125
198,178,102,0,3,778,19.8,4.202020202020202
323,289,167,0,6,1426,24.846153846153847,4.569659442724459
232,201,122,0,8,896,17.846153846153847,4.125
117,100,67,0,2,446,19.5,4.170940170940171
109,94,57,0,10,437,15.571428571428571,4.229357798165138
822,708,333,0,19,3421,26.516129032258064,4.254257907542579
149,134,77,0,4,610,18.625,4.248322147651007
192,171,107,0,6,772,12.0,4.15625
211,188,114,0,4,848,19.181818181818183,4.232227488151659
612,551,278,0,12,2807,24.48,4.746732026143791
174,155,95,0,6,726,19.333333333333332,4.333333333333333
90,76,61,0,1,354,15.0,4.166666666666667
190,173,110,0,4,869,21.11111111111111,4.726315789473684
283,240,148,0,5,1086,17.6875,4.134275618374558
104,90,62,0,4,397,26.0,4.153846153846154
351,312,183,0,9,1514,27.0,4.535612535612535
289,244,151,0,8,1202,24.083333333333332,4.28719723183391
161,138,85,0,9,587,23.0,3.8509316770186337
338,305,157,0,15,1323,21.125,4.127218934911243
133,115,78,0,1,518,22.166666666666668,4.120300751879699
213,181,117,0,2,817,21.3,4.117370892018779
177,158,98,0,3,665,14.75,3.9717514124293785
195,169,105,0,9,745,17.727272727272727,4.061538461538461
273,237,139,0,12,1069,24.818181818181817,4.13919413919414
212,186,113,0,7,863,23.555555555555557,4.30188679245283
