0,1,2,3,4,5,6,7
154,154,88,0,0,920,154.0,6.038961038961039
70,70,55,0,0,428,70.0,6.128571428571429
95,95,49,0,0,487,95.0,5.136842105263158
79,79,57,0,0,505,79.0,6.430379746835443
33,33,29,0,0,209,33.0,6.333333333333333
78,78,34,0,0,408,78.0,5.243589743589744
64,64,47,0,0,424,64.0,6.65625
78,75,50,0,0,493,78.0,6.410256410256411
64,64,52,0,0,376,64.0,5.890625
140,140,57,0,0,715,140.0,5.128571428571429
106,106,72,0,0,669,106.0,6.367924528301887
238,238,138,0,0,1396,238.0,5.882352941176471
487,487,262,0,0,3104,487.0,6.408624229979466
84,84,59,0,0,543,84.0,6.511904761904762
83,83,58,0,0,492,83.0,5.951807228915663
84,84,54,0,0,467,84.0,5.595238095238095
20,20,16,0,0,139,20.0,7.0
49,49,32,0,0,239,49.0,4.877551020408164
88,88,58,0,0,547,88.0,6.238636363636363
33,33,23,0,0,163,33.0,4.9393939393939394
81,81,57,0,0,508,81.0,6.271604938271605
54,53,34,0,0,292,54.0,5.5
7,7,7,0,0,49,7.0,7.0
31,31,23,0,0,155,31.0,5.0
49,49,31,0,0,283,49.0,5.775510204081633
60,60,29,0,0,333,60.0,5.616666666666666
70,70,55,0,0,429,70.0,6.185714285714286
101,101,65,0,0,677,101.0,6.712871287128713
142,126,85,0,4,659,47.333333333333336,4.788732394366197
66,66,38,0,0,426,66.0,6.575757575757576
27,27,22,0,0,158,27.0,5.851851851851852
94,94,69,0,0,600,94.0,6.382978723404255
82,82,51,0,0,466,82.0,5.695121951219512
26,26,20,0,0,175,26.0,6.8076923076923075
94,94,66,0,0,515,94.0,5.5
37,37,27,0,0,226,37.0,6.162162162162162
111,111,64,0,0,694,111.0,6.252252252252252
97,97,57,0,0,569,97.0,5.896907216494846
82,81,55,0,0,561,82.0,6.865853658536586
26,26,21,0,0,141,26.0,5.461538461538462
27,27,22,0,0,137,27.0,5.111111111111111
33,33,27,0,0,182,33.0,5.545454545454546
30,30,22,0,0,163,30.0,5.466666666666667
31,31,27,0,0,165,31.0,5.354838709677419
24,24,17,0,0,131,24.0,5.458333333333333
90,90,57,0,0,548,90.0,6.144444444444445
85,85,57,0,0,532,85.0,6.258823529411765
63,63,44,0,0,369,63.0,5.904761904761905
136,120,77,0,6,581,22.666666666666668,4.463235294117647
42,42,26,0,0,239,42.0,5.880952380952381
113,113,65,0,0,676,113.0,6.017699115044247
117,116,72,0,0,746,117.0,6.418803418803419
74,74,51,0,0,437,74.0,5.918918918918919
112,112,71,0,0,641,112.0,5.741071428571429
61,61,43,0,0,365,61.0,6.0
51,50,25,0,0,347,51.0,6.8431372549019605
13,13,11,0,0,90,13.0,6.923076923076923
34,34,24,0,0,210,34.0,6.205882352941177
83,83,51,0,0,459,83.0,5.578313253012048
78,78,54,0,0,490,78.0,6.294871794871795
19,19,16,0,0,92,19.0,4.842105263157895
108,107,68,0,0,659,108.0,6.138888888888889
60,60,44,0,0,316,60.0,5.266666666666667
74,74,55,0,0,429,74.0,5.797297297297297
67,67,49,0,0,365,67.0,5.447761194029851
94,94,57,0,0,492,94.0,5.276595744680851
51,51,22,0,0,270,51.0,5.294117647058823
181,173,73,0,0,1076,60.333333333333336,5.988950276243094
20,20,16,0,0,114,20.0,5.75
176,176,111,0,0,1021,176.0,5.806818181818182
99,99,66,0,0,576,99.0,5.828282828282828
94,92,67,0,0,533,94.0,5.691489361702128
120,120,71,0,0,707,120.0,5.941666666666666
66,66,54,0,0,420,66.0,6.363636363636363
90,90,56,0,0,485,90.0,5.411111111111111
71,71,54,0,0,410,71.0,5.816901408450704
81,81,52,0,0,445,81.0,5.530864197530864
33,33,20,0,0,187,33.0,5.666666666666667
93,93,63,0,0,532,93.0,5.720430107526882
108,108,72,0,0,635,108.0,5.87962962962963
49,49,37,0,0,304,49.0,6.3061224489795915
104,104,61,0,0,613,104.0,5.913461538461538
10,10,9,0,0,64,10.0,6.4
247,247,173,0,0,1532,247.0,6.2145748987854255
82,82,47,0,0,436,82.0,5.317073170731708
70,70,51,0,0,413,70.0,5.942857142857143
75,75,50,0,0,396,75.0,5.28
46,46,25,0,0,255,46.0,5.565217391304348
247,247,145,0,0,1382,247.0,5.615384615384615
79,79,52,0,0,475,79.0,6.063291139240507
94,94,60,0,0,540,94.0,5.776595744680851
50,50,34,0,0,242,50.0,4.84
94,94,64,0,0,545,94.0,5.797872340425532
52,51,30,0,0,288,52.0,5.5576923076923075
82,81,41,0,0,476,82.0,5.817073170731708
75,75,51,0,0,418,75.0,5.586666666666667
38,38,29,0,0,245,38.0,6.5
12,12,11,0,0,90,12.0,7.583333333333333
108,107,72,0,0,645,108.0,6.0
76,76,57,0,0,468,76.0,6.197368421052632
54,54,42,0,0,351,54.0,6.5
21,21,21,0,0,119,21.0,5.666666666666667
77,77,53,0,0,461,77.0,6.0
59,59,27,0,0,304,59.0,5.169491525423729
61,61,39,0,0,370,61.0,6.081967213114754
151,128,89,0,7,667,30.2,4.569536423841059
47,47,32,0,0,249,47.0,5.297872340425532
58,58,38,0,0,345,58.0,5.9655172413793105
181,156,99,0,3,790,30.166666666666668,4.552486187845304
52,52,39,0,0,316,52.0,6.134615384615385
62,62,39,0,0,402,62.0,6.5
14,14,13,0,0,93,14.0,6.714285714285714
125,122,68,0,0,679,125.0,5.48
81,81,32,0,0,493,81.0,6.135802469135802
57,57,43,0,0,293,57.0,5.140350877192983
43,43,30,0,0,252,43.0,5.906976744186046
84,84,54,0,0,471,84.0,5.666666666666667
116,116,59,0,0,702,116.0,6.103448275862069
22,22,17,0,0,124,22.0,5.681818181818182
80,80,50,0,0,443,80.0,5.5875
80,80,53,0,0,499,80.0,6.2375
95,95,64,0,0,645,95.0,6.842105263157895
186,177,124,0,0,974,46.5,5.306451612903226
23,23,16,0,0,159,23.0,7.043478260869565
79,79,45,0,0,426,79.0,5.468354430379747
63,63,43,0,0,412,63.0,6.587301587301587
79,79,51,0,0,517,79.0,6.556962025316456
108,108,80,0,0,645,108.0,6.0
79,79,38,0,0,413,79.0,5.329113924050633
32,32,28,0,0,188,32.0,5.875
186,159,103,0,7,805,18.6,4.483870967741935
58,58,38,0,0,328,58.0,5.655172413793103
99,99,67,0,0,516,99.0,5.292929292929293
154,151,34,0,0,882,77.0,5.928571428571429
95,95,57,0,0,503,95.0,5.347368421052631
5,5,5,0,0,29,5.0,5.8
50,50,37,0,0,331,50.0,6.66
42,42,32,0,0,264,42.0,6.380952380952381
66,66,46,0,0,429,66.0,6.5
27,27,20,0,0,184,27.0,6.925925925925926
121,106,71,0,0,694,121.0,5.900826446280992
77,77,51,0,0,512,77.0,6.701298701298701
138,138,96,0,0,892,138.0,6.463768115942029
96,96,53,0,0,537,96.0,5.65625
88,88,57,0,0,521,88.0,5.920454545454546
79,79,53,0,0,499,79.0,6.3924050632911396
75,75,50,0,0,395,75.0,5.28
55,55,37,0,0,339,55.0,6.163636363636364
105,105,71,0,0,659,105.0,6.314285714285714
46,46,44,0,0,274,46.0,5.956521739130435
83,83,54,0,0,436,83.0,5.253012048192771
67,67,48,0,0,329,67.0,4.925373134328358
134,133,91,0,0,850,134.0,6.380597014925373
19,19,14,0,0,95,19.0,5.052631578947368
87,86,57,0,0,568,87.0,6.597701149425287
159,139,98,0,6,719,22.714285714285715,4.6918238993710695
71,71,40,0,0,417,71.0,5.943661971830986
136,136,88,0,0,882,136.0,6.485294117647059
94,94,60,0,0,537,94.0,5.73404255319149
86,86,53,0,0,455,86.0,5.290697674418604
25,25,16,0,0,191,25.0,7.68
222,202,126,0,9,1029,44.4,4.774774774774775
72,71,35,0,0,393,72.0,5.472222222222222
140,140,60,0,0,698,140.0,5.0
309,269,179,0,7,1318,30.9,4.401294498381877
27,27,23,0,0,181,27.0,6.7407407407407405
40,38,28,0,0,195,40.0,4.975
94,94,54,0,0,558,94.0,6.0638297872340425
31,31,25,0,0,190,31.0,6.129032258064516
73,73,53,0,0,461,73.0,6.342465753424658
68,68,48,0,0,354,68.0,5.220588235294118
123,123,75,0,0,619,123.0,5.040650406504065
86,84,52,0,0,458,86.0,5.383720930232558
114,114,74,0,0,728,114.0,6.447368421052632
109,109,76,0,0,708,109.0,6.513761467889908
71,71,48,0,0,426,71.0,6.028169014084507
82,82,61,0,0,477,82.0,5.829268292682927
90,90,65,0,0,577,90.0,6.455555555555556
126,116,80,0,4,565,31.5,4.674603174603175
97,97,67,0,0,621,97.0,6.402061855670103
86,86,64,0,0,519,86.0,6.034883720930233
65,65,49,0,0,421,65.0,6.523076923076923
55,55,31,0,0,284,55.0,5.163636363636364
52,52,40,0,0,299,52.0,5.769230769230769
112,112,78,0,0,677,112.0,6.0625
131,130,84,0,0,775,131.0,5.961832061068702
6,6,6,0,0,35,6.0,5.833333333333333
74,74,53,0,0,422,74.0,5.702702702702703
103,103,76,0,0,570,103.0,5.533980582524272
26,26,10,0,0,106,26.0,4.076923076923077
73,73,55,0,0,411,73.0,5.657534246575342
108,108,71,0,0,587,108.0,5.444444444444445
69,69,40,0,0,341,69.0,4.942028985507246
83,83,46,0,0,534,83.0,6.530120481927711
97,97,62,0,0,572,97.0,5.927835051546392
20,20,19,0,0,155,20.0,7.75
108,108,77,0,0,703,108.0,6.518518518518518
38,38,32,0,0,217,38.0,5.7105263157894735
157,157,101,0,0,1043,157.0,6.713375796178344
65,65,43,0,0,450,65.0,6.953846153846154
17,17,13,0,0,84,17.0,4.9411764705882355
118,118,76,0,0,748,118.0,6.364406779661017
85,85,60,0,0,574,85.0,6.776470588235294
73,73,51,0,0,401,73.0,5.534246575342466
97,97,57,0,0,532,97.0,5.525773195876289
72,72,47,0,0,411,72.0,5.722222222222222
32,32,25,0,0,173,32.0,5.40625
118,118,81,0,0,744,118.0,6.338983050847458
77,77,54,0,0,381,77.0,4.9480519480519485
40,40,28,0,0,227,40.0,5.7
70,70,50,0,0,447,70.0,6.385714285714286
47,47,30,0,0,294,47.0,6.361702127659575
103,103,80,0,0,664,103.0,6.466019417475728
129,117,70,0,2,534,25.8,4.3023255813953485
36,36,29,0,0,242,36.0,6.75
31,31,25,0,0,184,31.0,5.967741935483871
113,113,63,0,0,572,113.0,5.123893805309734
26,26,19,0,0,137,26.0,5.269230769230769
214,214,111,0,0,1234,214.0,5.813084112149533
81,81,60,0,0,482,81.0,5.950617283950617
34,34,18,0,0,218,34.0,6.588235294117647
43,43,27,0,0,236,43.0,5.488372093023256
88,88,56,0,0,565,88.0,6.454545454545454
68,68,46,0,0,371,68.0,5.485294117647059
48,48,42,0,0,287,48.0,5.979166666666667
70,70,49,0,0,371,70.0,5.314285714285714
13,13,12,0,0,71,13.0,5.461538461538462
81,81,52,0,0,466,81.0,5.777777777777778
67,67,51,0,0,387,67.0,5.8059701492537314
33,33,27,0,0,187,33.0,5.666666666666667
51,48,23,0,0,260,51.0,5.1568627450980395
87,87,63,0,0,567,87.0,6.540229885057471
47,47,35,0,0,301,47.0,6.468085106382978
92,92,63,0,0,546,92.0,5.945652173913044
51,51,33,0,0,305,51.0,6.0
78,78,45,0,0,414,78.0,5.384615384615385
25,25,18,0,0,141,25.0,5.64
85,85,41,0,0,462,85.0,5.482352941176471
52,52,45,0,0,340,52.0,6.5576923076923075
15,15,14,0,0,94,15.0,6.266666666666667
82,82,49,0,0,561,82.0,6.865853658536586
161,161,117,0,0,978,161.0,6.086956521739131
85,85,35,0,0,447,85.0,5.529411764705882
26,26,20,0,0,170,26.0,6.576923076923077
62,62,36,0,0,332,62.0,5.370967741935484
108,108,67,0,0,620,108.0,5.75
20,20,19,0,0,131,20.0,6.6
79,79,59,0,0,506,79.0,6.455696202531645
85,85,59,0,0,561,85.0,6.623529411764705
37,37,23,0,0,150,37.0,4.054054054054054
69,69,33,0,0,316,69.0,4.594202898550725
24,24,20,0,0,144,24.0,6.0
164,164,101,0,0,961,164.0,5.871951219512195
