0,1,2,3,4,5,6,7
93,82,64,0,0,402,15.5,4.440860215053763
88,80,55,0,0,351,22.0,4.079545454545454
41,36,27,0,0,196,13.666666666666666,4.975609756097561
152,135,87,0,0,611,12.666666666666666,4.131578947368421
96,87,38,0,0,414,24.0,4.416666666666667
82,70,44,0,0,269,10.25,3.426829268292683
72,63,48,0,0,304,24.0,4.347222222222222
270,232,117,0,0,1039,12.857142857142858,3.9962962962962965
144,128,63,0,0,622,24.0,4.458333333333333
50,46,40,0,0,224,12.5,4.56
225,204,126,0,0,923,56.25,4.2
99,89,59,0,0,392,16.5,4.090909090909091
39,34,31,0,0,189,13.0,4.9743589743589745
113,103,67,0,0,543,18.833333333333332,4.902654867256637
64,51,42,0,0,261,9.142857142857142,4.28125
54,49,43,0,0,254,27.0,4.796296296296297
67,58,34,0,0,291,16.75,4.477611940298507
148,130,84,0,0,589,24.666666666666668,4.108108108108108
132,118,82,0,0,615,26.4,4.7727272727272725
59,52,42,0,0,218,11.8,3.8135593220338984
79,73,49,0,0,324,26.333333333333332,4.177215189873418
58,52,31,0,0,253,14.5,4.5344827586206895
53,45,38,0,0,204,13.25,4.037735849056604
250,233,128,0,0,1172,83.33333333333333,4.776
93,79,56,0,0,395,18.6,4.397849462365591
104,79,52,0,0,331,9.454545454545455,3.4326923076923075
55,45,38,0,0,205,11.0,3.909090909090909
115,103,73,0,0,541,16.428571428571427,4.826086956521739
142,128,59,0,0,624,71.0,4.492957746478873
279,245,155,0,0,1136,18.6,4.200716845878136
169,139,94,0,0,612,14.083333333333334,3.798816568047337
227,206,126,0,0,964,22.7,4.3392070484581495
99,88,64,0,0,427,14.142857142857142,4.434343434343434
76,72,62,0,0,351,25.333333333333332,4.671052631578948
200,175,122,0,0,868,12.5,4.465
32,31,29,0,0,183,16.0,5.78125
72,67,50,0,0,335,24.0,4.75
193,176,107,0,0,788,24.125,4.170984455958549
34,30,29,0,0,148,11.333333333333334,4.470588235294118
612,520,268,0,0,2431,19.125,4.132352941176471
96,87,73,0,0,433,16.0,4.604166666666667
149,133,88,0,0,660,21.285714285714285,4.543624161073826
92,81,53,0,0,380,11.5,4.282608695652174
89,84,56,0,0,379,22.25,4.348314606741573
53,47,38,0,0,189,13.25,3.69811320754717
83,74,53,0,0,407,20.75,5.024096385542169
367,326,173,0,0,1450,14.115384615384615,4.098092643051771
140,132,82,0,0,651,46.666666666666664,4.728571428571429
52,48,39,0,0,237,17.333333333333332,4.634615384615385
209,188,113,0,0,795,23.22222222222222,3.9138755980861246
289,249,158,0,0,1154,14.45,4.131487889273356
41,35,30,0,0,147,20.5,3.731707317073171
178,158,97,0,0,757,25.428571428571427,4.370786516853933
68,55,44,0,0,253,9.714285714285714,3.926470588235294
38,32,28,0,0,184,7.6,5.078947368421052
261,231,134,0,0,1204,21.75,4.747126436781609
83,71,55,0,0,348,11.857142857142858,4.337349397590361
103,83,52,0,0,347,10.3,3.5728155339805827
54,47,37,0,0,231,10.8,4.425925925925926
124,110,83,0,0,521,13.777777777777779,4.32258064516129
111,103,80,0,0,468,18.5,4.297297297297297
111,99,71,0,0,502,55.5,4.648648648648648
90,76,44,0,0,346,15.0,4.022222222222222
443,365,183,0,0,1614,17.72,3.8216704288939054
57,50,45,0,0,240,14.25,4.333333333333333
35,35,31,0,0,198,35.0,5.6571428571428575
57,48,34,0,0,251,14.25,4.56140350877193
74,64,55,0,0,298,18.5,4.175675675675675
104,95,69,0,0,411,17.333333333333332,4.048076923076923
69,63,42,0,0,318,11.5,4.72463768115942
80,71,57,0,0,367,20.0,4.7
27,26,23,0,0,125,27.0,4.666666666666667
129,118,71,0,0,552,25.8,4.395348837209302
142,129,53,0,0,501,23.666666666666668,3.640845070422535
63,55,42,0,0,247,12.6,4.0476190476190474
179,170,117,0,0,816,179.0,4.620111731843576
72,67,43,0,0,285,18.0,4.027777777777778
53,46,34,0,0,236,13.25,4.584905660377358
354,321,191,0,0,1493,32.18181818181818,4.324858757062147
46,41,37,0,0,226,15.333333333333334,5.021739130434782
624,555,291,0,0,3028,18.352941176470587,4.972756410256411
43,35,34,0,0,170,8.6,4.1395348837209305
131,114,82,0,0,553,18.714285714285715,4.3893129770992365
104,89,67,0,0,510,11.555555555555555,5.048076923076923
49,44,33,0,0,214,49.0,4.469387755102041
219,189,128,0,0,973,19.90909090909091,4.584474885844749
341,301,177,0,0,1547,16.238095238095237,4.683284457478006
43,39,34,0,0,198,14.333333333333334,4.6976744186046515
58,54,35,0,0,205,19.333333333333332,3.6206896551724137
170,150,103,0,0,687,34.0,4.1647058823529415
211,171,98,0,0,734,10.55,3.677725118483412
101,92,62,0,0,477,33.666666666666664,4.841584158415841
68,65,44,0,0,338,34.0,5.014705882352941
405,369,182,0,0,1702,17.608695652173914,4.298765432098765
512,458,247,0,0,2374,64.0,4.759765625
263,233,148,0,0,1177,23.90909090909091,4.608365019011407
162,143,80,0,0,621,27.0,3.962962962962963
136,123,88,0,0,586,34.0,4.411764705882353
47,39,29,0,0,244,7.833333333333333,5.382978723404255
109,96,66,0,0,489,15.571428571428571,4.614678899082569
155,136,66,0,0,605,14.090909090909092,4.04516129032258
245,226,65,0,0,974,81.66666666666667,4.163265306122449
69,64,51,0,0,329,69.0,4.855072463768116
245,226,101,0,0,976,16.333333333333332,4.069387755102041
44,41,32,0,0,188,11.0,4.340909090909091
90,78,59,0,0,418,22.5,4.777777777777778
84,77,51,0,0,369,16.8,4.476190476190476
84,73,48,0,0,343,12.0,4.285714285714286
66,63,51,0,0,274,66.0,4.196969696969697
64,56,25,0,0,310,16.0,5.09375
95,81,59,0,0,428,15.833333333333334,4.652631578947369
52,47,30,0,0,235,26.0,4.615384615384615
124,108,65,0,0,480,24.8,4.024193548387097
43,35,28,0,0,195,21.5,4.767441860465116
129,111,67,0,0,496,14.333333333333334,3.9844961240310077
182,150,82,0,0,713,15.166666666666666,4.0989010989010985
116,103,78,0,0,485,29.0,4.293103448275862
358,316,145,0,0,1334,10.848484848484848,3.85195530726257
71,63,49,0,0,262,14.2,3.8028169014084505
59,53,36,0,0,241,14.75,4.237288135593221
160,138,99,0,0,708,13.333333333333334,4.575
49,43,30,0,0,192,24.5,4.081632653061225
75,65,51,0,0,288,18.75,3.973333333333333
