0,1,2,3,4,5,6,7
296,250,149,0,26,1237,24.666666666666668,4.351351351351352
241,206,128,0,8,1083,24.1,4.639004149377594
24,22,17,0,0,119,24.0,5.083333333333333
45,30,28,0,1,137,7.5,3.3555555555555556
313,274,165,0,6,1317,26.083333333333332,4.348242811501597
148,132,79,0,1,537,21.142857142857142,3.7027027027027026
122,109,72,0,5,491,20.333333333333332,4.131147540983607
531,476,244,0,10,2326,44.25,4.527306967984934
197,177,112,0,3,881,32.833333333333336,4.563451776649746
394,346,194,0,14,1691,39.4,4.446700507614213
78,64,50,0,33,272,13.0,3.5641025641025643
145,136,99,0,1,604,36.25,4.241379310344827
33,30,25,0,14,138,33.0,4.2727272727272725
13,13,11,0,1,62,13.0,4.769230769230769
357,295,166,0,63,1363,23.8,4.03921568627451
41,35,31,0,0,201,8.2,4.951219512195122
378,320,172,0,6,1542,17.181818181818183,4.267195767195767
46,42,32,0,0,197,23.0,4.369565217391305
51,40,35,0,3,165,25.5,3.4705882352941178
38,32,30,0,1,141,19.0,3.736842105263158
34,30,28,0,1,134,17.0,3.9411764705882355
32,29,20,1,2,130,32.0,4.25
30,25,19,0,4,115,15.0,4.1
143,119,82,0,3,623,20.428571428571427,4.559440559440559
28,27,21,0,2,100,14.0,3.607142857142857
145,134,86,0,1,644,24.166666666666668,4.544827586206897
4,3,3,0,0,22,4.0,5.75
47,39,33,0,1,177,11.75,3.8085106382978724
117,105,71,0,2,488,39.0,4.273504273504273
142,125,84,0,7,641,35.5,4.633802816901408
38,37,24,0,2,130,38.0,3.3157894736842106
111,96,66,0,5,436,15.857142857142858,4.054054054054054
70,57,49,0,10,263,17.5,3.857142857142857
134,117,87,0,3,553,26.8,4.2611940298507465
82,73,49,0,5,307,41.0,3.902439024390244
122,109,72,0,5,491,20.333333333333332,4.131147540983607
531,476,244,0,10,2326,44.25,4.527306967984934
394,346,194,0,14,1691,39.4,4.446700507614213
78,64,50,0,33,272,13.0,3.5641025641025643
145,136,99,0,1,604,36.25,4.241379310344827
33,30,25,0,14,138,33.0,4.2727272727272725
13,13,11,0,1,62,13.0,4.769230769230769
357,295,166,0,63,1363,23.8,4.03921568627451
41,35,31,0,0,201,8.2,4.951219512195122
378,320,172,0,6,1542,17.181818181818183,4.267195767195767
46,42,32,0,0,197,23.0,4.369565217391305
38,32,30,0,1,141,19.0,3.736842105263158
34,30,28,0,1,133,17.0,3.911764705882353
34,30,28,0,1,134,17.0,3.9411764705882355
24,22,17,0,0,119,24.0,5.083333333333333
45,30,28,0,1,137,7.5,3.3555555555555556
313,274,165,0,6,1317,26.083333333333332,4.348242811501597
148,132,79,0,1,537,21.142857142857142,3.7027027027027026
68,59,50,0,0,293,68.0,4.470588235294118
102,88,64,0,4,405,17.0,4.098039215686274
36,32,30,0,1,141,18.0,3.888888888888889
42,40,36,0,0,181,21.0,4.404761904761905
22,19,18,0,0,87,11.0,4.090909090909091
239,218,130,0,1,991,39.833333333333336,4.2552301255230125
165,153,101,0,3,789,33.0,4.872727272727273
133,121,94,0,6,610,26.6,4.676691729323308
48,43,31,0,3,195,24.0,4.166666666666667
93,81,57,0,2,352,31.0,3.924731182795699
217,191,127,0,6,903,54.25,4.2626728110599075
48,43,32,0,3,177,24.0,3.7916666666666665
32,29,20,1,2,130,32.0,4.25
30,25,19,0,4,115,15.0,4.1
143,119,82,0,3,623,20.428571428571427,4.559440559440559
28,27,21,0,2,100,14.0,3.607142857142857
145,134,86,0,1,644,24.166666666666668,4.544827586206897
4,3,3,0,0,22,4.0,5.75
47,39,33,0,1,177,11.75,3.8085106382978724
117,105,71,0,2,488,39.0,4.273504273504273
142,125,84,0,7,641,35.5,4.633802816901408
38,37,24,0,2,130,38.0,3.3157894736842106
111,96,66,0,5,436,15.857142857142858,4.054054054054054
70,57,49,0,10,263,17.5,3.857142857142857
134,117,87,0,3,553,26.8,4.2611940298507465
122,109,72,0,5,491,20.333333333333332,4.131147540983607
531,476,244,0,10,2326,44.25,4.527306967984934
197,177,112,0,3,881,32.833333333333336,4.563451776649746
78,64,50,0,33,272,13.0,3.5641025641025643
145,136,99,0,1,604,36.25,4.241379310344827
33,30,25,0,14,138,33.0,4.2727272727272725
13,13,11,0,1,62,13.0,4.769230769230769
357,295,166,0,63,1363,23.8,4.03921568627451
41,35,31,0,0,201,8.2,4.951219512195122
378,320,172,0,6,1542,17.181818181818183,4.267195767195767
46,42,32,0,0,197,23.0,4.369565217391305
51,40,35,0,3,165,25.5,3.4705882352941178
38,32,30,0,1,141,19.0,3.736842105263158
34,30,28,0,1,133,17.0,3.911764705882353
34,30,28,0,1,134,17.0,3.9411764705882355
